Compliance_ID,Audit_Date,Company,Department,Plant,Deviation_Type,Severity,Root_Cause,CAPA_Status,Closure_Date,Compliance_Status,Risk_Score,Product,Batch_Number,Auditor,Remarks
CMP00002,2025-10-27,Novartis,Packaging,Bangalore,Equipment,Critical,Equipment Failure,Open,2025-11-19,Non-Compliant,14,Syrup,BT22676,Anil,Follow SOP
CMP00007,2025-09-02,GSK,Packaging,Bangalore,Calibration,High,Training Issue,Open,2025-09-17,Non-Compliant,56,Syrup,BT10425,Anil,No Remarks
CMP00012,2024-03-03,Cipla,R&D,Bangalore,Cleaning,High,Equipment Failure,Open,2024-03-16,Non-Compliant,71,Tablet,BT95477,Kiran,No Remarks
CMP00014,2024-07-13,GSK,QA,Chennai,SOP,Low,Human Error,In Progress,2024-07-23,Compliant,24,Ointment,BT18907,Priya,Urgent
CMP00015,2024-05-02,Pfizer,Packaging,Bangalore,SOP,Medium,Training Issue,Open,2024-05-31,Non-Compliant,51,Injection,BT69929,Anil,No Remarks
CMP00017,2025-11-10,Pfizer,QA,Vizag,Calibration,High,Training Issue,In Progress,2025-11-14,Non-Compliant,33,Tablet,BT93136,Sneha,Follow SOP
CMP00020,2025-11-16,Aurobindo Pharma,R&D,Vizag,Cleaning,Medium,Training Issue,Closed,2025-12-14,Compliant,29,Capsule,BT62227,Anil,Follow SOP
CMP00024,2025-11-01,Cipla,Warehouse,Hyderabad,Equipment,Critical,Material Issue,In Progress,2025-11-12,Non-Compliant,12,Injection,BT39444,Priya,Requires Review
CMP00025,2024-01-26,Novartis,QA,Pune,Cleaning,Critical,Equipment Failure,Open,2024-01-28,Compliant,97,Syrup,BT38683,Priya,No Remarks
CMP00027,2024-09-10,Lupin,R&D,Vizag,Equipment,High,Training Issue,Closed,2024-10-07,Compliant,18,Capsule,BT60205,Priya,Requires Review
CMP00033,2025-08-02,Novartis,Production,Pune,Documentation,High,Documentation Error,Closed,,Non-Compliant,91,Syrup,BT33086,Kiran,Follow SOP
CMP00034,2025-09-22,Dr. Reddy's,Packaging,Bangalore,Cleaning,Critical,Equipment Failure,Closed,2025-10-18,Non-Compliant,44,Syrup,BT52600,Priya,Urgent
CMP00036,2024-10-28,GSK,Warehouse,Bangalore,Equipment,Medium,Documentation Error,Closed,2024-11-05,Non-Compliant,33,Tablet,BT35242,Anil,No Remarks
CMP00037,2025-07-02,Mylan,R&D,Bangalore,Documentation,Medium,Equipment Failure,Closed,2025-07-27,Compliant,47,Injection,BT11854,Kiran,Requires Review
CMP00038,2024-10-07,Mylan,Production,Bangalore,Cleaning,High,Documentation Error,Closed,2024-10-09,Non-Compliant,24,Injection,BT72616,Ravi,No Remarks
CMP00040,2025-08-25,Dr. Reddy's,QC,Vizag,SOP,Low,Equipment Failure,In Progress,2025-09-08,Compliant,21,Syrup,BT69048,Kiran,Urgent
CMP00041,2024-10-25,Mylan,QA,Vizag,Cleaning,High,Human Error,In Progress,2024-10-27,Compliant,83,Injection,BT28643,Ravi,No Remarks
CMP00044,2025-02-22,GSK,QC,Hyderabad,Cleaning,Low,Human Error,Closed,2025-03-05,Non-Compliant,42,Syrup,BT77449,Ravi,No Remarks
CMP00045,2025-04-18,Lupin,Production,Chennai,SOP,Medium,Training Issue,Closed,2025-05-02,Non-Compliant,16,Ointment,BT41365,Priya,Follow SOP
CMP00050,2025-11-21,Mylan,Packaging,Hyderabad,SOP,Critical,Training Issue,Open,2025-12-19,Compliant,56,Tablet,BT68153,Priya,Follow SOP
CMP00054,2024-12-26,Dr. Reddy's,R&D,Hyderabad,Equipment,Medium,Documentation Error,Open,2025-01-03,Non-Compliant,94,Tablet,BT48680,Anil,Urgent
CMP00055,2024-06-28,Abbott,QA,Bangalore,Calibration,High,Training Issue,Open,2024-07-05,Non-Compliant,10,Capsule,BT98647,Sneha,No Remarks
CMP00059,2024-07-13,Aurobindo Pharma,Warehouse,Vizag,Validation,Low,Equipment Failure,Open,2024-07-17,Compliant,76,Capsule,BT53064,Priya,No Remarks
CMP00060,2024-01-03,Pfizer,QA,Vizag,Validation,Medium,Training Issue,Open,2024-01-12,Compliant,34,Capsule,BT65176,Kiran,No Remarks
CMP00063,2025-03-16,Lupin,QA,Bangalore,SOP,Critical,Documentation Error,Open,2025-03-31,Compliant,11,Syrup,BT22656,Anil,Requires Review
CMP00065,2024-04-20,Mylan,Packaging,Chennai,Calibration,High,Material Issue,Open,2024-05-02,Non-Compliant,4,Injection,BT50499,Anil,Follow SOP
CMP00068,2024-02-16,Pfizer,Production,Hyderabad,Documentation,Low,Documentation Error,In Progress,2024-02-24,Non-Compliant,23,Syrup,BT79806,Priya,No Remarks
CMP00069,2025-07-26,Pfizer,R&D,Chennai,Cleaning,Critical,Material Issue,Closed,2025-08-22,Non-Compliant,38,Syrup,BT12733,Anil,Requires Review
CMP00070,2025-09-24,Novartis,R&D,Bangalore,Calibration,High,Training Issue,Open,2025-10-09,Non-Compliant,100,Tablet,BT76910,Ravi,No Remarks
CMP00073,2024-10-20,Sun Pharma,R&D,Pune,Validation,Low,Equipment Failure,Closed,2024-10-23,Non-Compliant,65,Tablet,BT69050,Ravi,Follow SOP
CMP00079,2025-01-26,Abbott,Packaging,Bangalore,Validation,Critical,Human Error,In Progress,2025-02-12,Compliant,37,Capsule,BT45755,Sneha,No Remarks
CMP00081,2025-10-27,Abbott,QA,Pune,Validation,Medium,Human Error,Open,2025-11-07,Compliant,33,Capsule,BT81932,Kiran,No Remarks
CMP00082,2025-03-09,Dr. Reddy's,QC,Pune,Validation,Medium,Material Issue,Open,2025-03-13,Compliant,92,Injection,BT66261,Ravi,No Remarks
CMP00083,2024-12-27,GSK,Packaging,Chennai,Validation,Critical,Material Issue,Open,2025-01-04,Non-Compliant,61,Syrup,BT58929,Anil,No Remarks
CMP00094,2025-05-29,Sun Pharma,QA,Hyderabad,Documentation,Medium,Human Error,In Progress,2025-06-19,Non-Compliant,84,Ointment,BT64602,Kiran,No Remarks
CMP00102,2025-08-20,Sun Pharma,QA,Pune,Equipment,Critical,Documentation Error,Open,2025-09-05,Non-Compliant,89,Syrup,BT75774,Kiran,Urgent
CMP00105,2024-03-21,Lupin,Warehouse,Vizag,Documentation,High,Material Issue,In Progress,2024-04-02,Compliant,32,Ointment,BT39579,Priya,No Remarks
CMP00108,2025-04-10,Pfizer,Packaging,Vizag,Calibration,Critical,Documentation Error,In Progress,2025-05-01,Non-Compliant,92,Tablet,BT54185,Anil,No Remarks
CMP00109,2025-11-21,Novartis,QA,Hyderabad,SOP,Medium,Equipment Failure,Closed,2025-12-16,Non-Compliant,32,Injection,BT60275,Priya,Urgent
CMP00110,2024-09-30,Cipla,QC,Pune,Calibration,Low,Material Issue,In Progress,2024-10-11,Non-Compliant,89,Injection,BT58174,Kiran,Requires Review
CMP00113,2025-07-31,Aurobindo Pharma,Packaging,Chennai,Documentation,Critical,Human Error,Closed,,Non-Compliant,90,Ointment,BT17897,Ravi,Urgent
CMP00115,2025-06-25,Novartis,R&D,Chennai,Cleaning,Medium,Equipment Failure,Open,2025-06-30,Non-Compliant,45,Injection,BT34704,Ravi,No Remarks
CMP00118,2025-05-22,GSK,QC,Pune,SOP,Critical,Equipment Failure,Closed,2025-05-24,Compliant,60,Ointment,BT64090,Sneha,No Remarks
CMP00119,2025-06-26,GSK,Warehouse,Vizag,Documentation,Medium,Training Issue,Closed,2025-07-01,Compliant,10,Ointment,BT98008,Kiran,Requires Review
CMP00120,2025-05-05,Abbott,Production,Vizag,Calibration,High,Material Issue,In Progress,2025-05-12,Compliant,51,Ointment,BT52154,Anil,Urgent
CMP00122,2025-07-20,GSK,Packaging,Bangalore,Equipment,Critical,Documentation Error,In Progress,2025-08-19,Non-Compliant,59,Injection,BT32185,Priya,No Remarks
CMP00123,2025-05-15,Sun Pharma,Packaging,Pune,SOP,Low,Equipment Failure,Open,2025-05-21,Compliant,2,Ointment,BT69770,Anil,No Remarks
CMP00124,2025-09-24,Lupin,Production,Chennai,Equipment,Critical,Human Error,In Progress,,Non-Compliant,23,Tablet,BT78732,Priya,Requires Review
CMP00130,2025-03-31,Sun Pharma,QC,Hyderabad,Equipment,Low,Material Issue,Open,2025-04-12,Non-Compliant,50,Injection,BT64238,Sneha,No Remarks
CMP00134,2025-04-17,Abbott,QA,Vizag,Calibration,Critical,Training Issue,Open,2025-05-10,Non-Compliant,85,Syrup,BT59412,Ravi,Urgent
