Compliance_ID,Audit_Date,Company,Department,Plant,Deviation_Type,Severity,Root_Cause,CAPA_Status,Closure_Date,Compliance_Status,Risk_Score,Product,Batch_Number,Auditor,Remarks
CMP00001,2025-10-16,Mylan,Production,Pune,Documentation,High,Human Error,Open,2025-10-20,Compliant,-5,Ointment,BT13478,Kiran,Requires Review
CMP00002,2025-10-27,Novartis,Packaging,Bangalore,Equipment,critical,Equipment Failure,Open,2025-11-19,Non-Compliant,14,Syrup,BT22676,Anil,Follow SOP
CMP00003,2025-09-10,Mylan,Production,Bangalore,Validation,Critical,Equipment Failure,In Progress,2025-09-19,Compliant,-5,Capsule,BT47930,Ravi,Requires Review
CMP00004,2024-04-13,Dr. Reddy's,QC,Chennai,Calibration,Critical,Equipment Failure,In Progress,2024-04-26,Compliant,150,Syrup,BT45382,Kiran,Requires Review
CMP00005,2025-12-02,Mylan,Production,Bangalore,SOP,Medium,Documentation Error,Closed,2025-12-13,Non-Compliant,150,Capsule,BT42325,Kiran,
CMP00006,2024-09-26,Dr. Reddy's,Packaging,Hyderabad,Documentation,Critical,Equipment Failure,In Progress,2024-10-20,Compliant,150,Ointment,BT18326,Sneha,Urgent
CMP00007,2025-09-02,GSK,Packaging,Bangalore,Calibration,Hgh,Training Issue,Open,2025-09-17,Non-Compliant,56,Syrup,BT10425,Anil,
CMP00008,2024-07-01,GSK,Production,Hyderabad,Validation,High,Training Issue,Closed,2024-07-18,Compliant,150,Injection,BT41385,Ravi,Requires Review
CMP00009,2025-08-03,GSK,Production,Vizag,Equipment,Critical,Material Issue,In Progress,2025-08-06,Non-Compliant,-5,Capsule,BT50857,Sneha,Follow SOP
CMP00010,2025-03-24,Aurobindo Pharma,Packaging,Hyderabad,Documentation,Critical,Human Error,Open,2025-04-22,Compliant,150,Tablet,BT77391,Priya,Follow SOP
CMP00011,2025-11-16,Novartis,QA,Vizag,Documentation,Medium,Human Error,In Progress,2025-12-02,Non-Compliant,150,Syrup,BT71213,Ravi,NA
CMP00012,2024-03-03,Cipla,R&D,Bangalore,Cleaning,High,Equipment Failure,Open,2024-03-16,Non-Compliant,71,Tablet,BT95477,Kiran,NA
CMP00013,2024-04-05,Sun Pharma,QA,Pune,Equipment,Medium,Documentation Error,Closed,2024-05-05,Non-Compliant,-5,Ointment,BT96752,Sneha,Requires Review
CMP00014,2024-07-13,GSK,QA,Chennai,SOP,Low,Human Error,In Progress,2024-07-23,Compliant,24,Ointment,BT18907,Priya,Urgent
CMP00015,2024-05-02,Pfizer,Packaging,Bangalore,SOP,Medium,Training Issue,Open,2024-05-31,Non-Compliant,51,Injection,BT69929,Anil,NA
CMP00016,2024-01-10,Aurobindo Pharma,Packaging,Bangalore,Equipment,Low,Equipment Failure,Closed,2024-01-25,Non-Compliant,-5,Ointment,BT11025,Kiran,Follow SOP
CMP00017,2025-11-10,Pfizer,QA,Vizag,Calibration,High,Training Issue,In Progress,2025-11-14,Non-Compliant,33,Tablet,BT93136,Sneha,Follow SOP
CMP00018,2024-02-15,Sun Pharma,QC,Hyderabad,Documentation,Medium,Equipment Failure,In Progress,2024-02-16,Compliant,-5,Ointment,BT29410,Sneha,Requires Review
CMP00019,2024-02-12,Novartis,QC,Chennai,Calibration,Low,Equipment Failure,Open,2024-02-22,Compliant,150,Tablet,BT33509,Anil,Urgent
